Tid,Refund,Marital.Status,Taxable.Income,Evade
1,Yes,Single,125,No
2,No,Married,100,No
3,No,Single,70,No
4,Yes,Married,120,No
5,No,Divorced,95,Yes
6,No,Married,60,No
7,Yes,Divorced,220,No
8,No,Single,85,Yes
9,No,Married,75,No
10,No,Single,90,Yes
11,Yes,Single,126,No
12,No,Married,101,No
13,No,Single,71,Yes
14,Yes,Married,121,No
15,No,Divorced,96,Yes
16,No,Married,61,No
17,Yes,Divorced,221,No
18,No,Single,86,Yes
19,No,Married,76,No
20,No,Single,91,Yes
21,Yes,Single,124,No
22,No,Married,99,No
23,No,Single,69,No
24,Yes,Married,119,No
25,No,Divorced,94,Yes
26,No,Married,59,No
27,Yes,Divorced,219,No
28,No,Single,84,Yes
29,No,Married,74,No
30,No,Single,89,Yes
31,Yes,Single,126,No
32,No,Married,101,No
33,No,Single,71,No
34,Yes,Married,121,No
35,No,Divorced,96,Yes
36,No,Married,61,No
37,Yes,Divorced,221,No
38,No,Single,86,Yes
39,No,Married,76,No
40,No,Single,91,Yes
41,Yes,Single,127,No
42,No,Married,102,No
43,No,Single,72,No
44,Yes,Married,122,No
45,No,Divorced,97,Yes
46,No,Married,62,No
47,Yes,Divorced,222,No
48,No,Single,87,Yes
49,No,Married,77,No
50,No,Single,92,Yes
51,Yes,Single,125,No
52,No,Married,100,No
53,No,Single,70,No
54,Yes,Married,120,No
55,No,Divorced,95,Yes
56,No,Married,60,No
57,Yes,Divorced,220,No
58,No,Single,85,Yes
59,No,Married,75,No
60,No,Single,90,Yes
61,Yes,Single,124,No
62,No,Married,99,No
63,No,Single,69,No
64,Yes,Married,119,No
65,No,Divorced,94,Yes
66,No,Married,59,No
67,Yes,Divorced,219,No
68,No,Single,84,Yes
69,No,Married,74,No
70,No,Single,89,Yes
71,Yes,Single,125,No
72,No,Married,100,No
73,No,Single,70,No
74,Yes,Married,120,No
75,No,Divorced,95,Yes
76,No,Married,60,No
77,Yes,Divorced,220,Yes
78,No,Single,85,Yes
79,No,Married,75,No
80,No,Single,90,Yes
81,Yes,Single,123,No
82,No,Married,98,No
83,No,Single,68,No
84,Yes,Married,118,No
85,No,Divorced,93,Yes
86,No,Married,58,No
87,Yes,Divorced,218,No
88,No,Single,83,Yes
89,No,Married,73,No
90,No,Single,88,Yes
91,No,Single,90,Yes
92,Yes,Single,123,No
93,No,Married,98,No
94,No,Single,68,No
95,Yes,Married,118,No
96,No,Divorced,93,Yes
97,No,Married,58,No
98,Yes,Divorced,218,No
99,No,Single,83,Yes
100,No,Married,73,No
